ID,taxon,type,p_scat,samples,total_in,mean_in,map,mat,cover,rugged
134,bird,Stomach,0,20,1,1,640.6666667,18.86703534,17.79528239,13.99525288
135,bird,scat,1,90,n/a,n/a,178.4,23.80004177,0.004147272,6.399264336
136,bird,scat,1,34,n/a,n/a,178.4,23.80004177,0.004147272,6.399264336
137,bird,scat,1,150,n/a,n/a,178.4,23.80004177,0.004147272,6.399264336
138,bird,scat,1,126,n/a,n/a,178.4,23.80004177,0.004147272,6.399264336
139,bird,scat,1,262,n/a,n/a,178.4,23.80004177,0.004147272,6.399264336
140,bird,stomach,0,114,13,1,998.5555556,14.61875015,64.08959561,97.01304436
141,bird,Stomach,0,43,n/a,n/a,318.5555556,26.90810225,0.403870718,2.636607627
142,bird,scat,1,45,n/a,n/a,2151.416667,6.886666656,75.13188759,158.1499842
143,bird,scat,1,69,n/a,n/a,1725.5,9.282249975,70.89728983,324.8377088
144,bird,scat,1,83,n/a,n/a,2210.555556,6.545694404,68.62586795,179.4978191
145,bird,scat,1,42,n/a,n/a,558.1111111,17.49166679,6.174692807,11.07335861
146,bird,scat,1,997,n/a,n/a,1013.444444,14.63495223,77.69203346,52.45469388
147,bird,scat,1,1992,n/a,n/a,764.6,14.64266701,6.728482046,15.60802156
148,bird,scat,1,143,n/a,n/a,771.75,14.05187503,56.70876473,50.92875957
149,bird,stomach,0,51,11,1.83,177.2222222,20.32504675,0.019213225,18.84274519
150,bird,scat,1,894,n/a,n/a,461.1,14.59183407,7.540435898,12.03220422
151,bird,scat,1,871,n/a,n/a,343.8888889,16.13754569,13.778916,6.018605526
